ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
027-47-9078|3578291146786695|Benjamin|Compton|M|7852 Katrina Curve|Staten Island|NY|10301|40.6316|-74.0927|468730|Police officer|1982-10-22|63858482694|adults_2550_male_urban.json
531-20-4983|4535841438424981|Brandon|Davidson|M|99590 Christopher Row|Lakewood|OH|44107|41.4847|-81.8018|52244|Technical author|1967-03-23|714101259587|adults_50up_male_urban.json
786-74-6826|3578447364710276|Jennifer|Marshall|F|255 Hester Curve Suite 881|Asheville|NC|28804|35.6374|-82.5646|120389|Investment banker, operational|2001-03-04|512139364441|young_adults_female_urban.json
274-58-4062|4046963259532783|John|Koch|M|16873 Brandy Causeway Apt. 479|North Tonawanda|NY|14120|43.0498|-78.851|45100|Psychotherapist, dance movement|2005-03-02|589637799519|young_adults_male_urban.json
868-14-7061|4565060983584163|Jonathan|Duran|M|912 Phillip Underpass Suite 852|Creswell|OR|97426|43.9058|-123.0284|9716|Engineer, civil (contracting)|1976-04-11|560933307161|adults_2550_male_urban.json
513-06-0743|503857872983|Charles|Velazquez|M|69495 Erickson Hills Suite 055|San Jose|CA|95126|37.3249|-121.9153|973849|Clinical molecular geneticist|1991-08-28|459475163381|adults_2550_male_urban.json
316-93-0437|3549930972896237|Andre|Vaughan|M|07562 Vaughn Loop|Englewood|CO|80112|39.5805|-104.9011|99594|Retail banker|1980-11-10|673343378855|adults_2550_male_urban.json
894-95-1021|3583857865278586|Hector|Ingram|M|733 Grant Fork Suite 437|Cleveland|OH|44103|41.5157|-81.6405|769341|Investment analyst|1952-01-17|384312829345|adults_50up_male_urban.json
815-93-4481|4986652404157473381|Denise|Hoffman|F|19933 Elizabeth Pines Apt. 301|Huntsville|AL|35805|34.7059|-86.6165|190178|Patent attorney|1982-01-26|787397615467|adults_2550_female_urban.json
103-88-2253|676126773453|Donna|Brown|F|938 Robin Extensions|Ruston|LA|71272|32.5258|-92.6493|32780|Pensions consultant|2003-01-27|922912214634|young_adults_female_urban.json
038-51-8117|4004991547887289|John|Lee|M|2742 Jill Turnpike|Ontario|CA|91764|34.0763|-117.6254|166856|Hotel manager|1969-12-24|741172976688|adults_50up_male_urban.json
180-79-6644|6516122753046370|Paul|Finley|M|904 Schwartz Circle Apt. 742|Smiths Creek|MI|48074|42.9051|-82.5679|9356|Optician, dispensing|1994-07-28|552702477657|adults_2550_male_urban.json
789-40-1924|4593327279568788|Rebecca|Petersen|F|918 Rice Lake|Lexington|NC|27295|35.8684|-80.315|76998|Careers adviser|1988-12-09|622414826633|adults_2550_female_urban.json
064-71-8282|4258713971877|Robert|Chavez|M|9087 Cummings Locks Suite 039|San Antonio|TX|78212|29.4388|-98.4935|1595797|Buyer, industrial|1938-10-26|464050986189|adults_50up_male_urban.json
718-09-8867|502070462267|Jacqueline|Vance|F|6182 Wilson Plain Suite 823|Sparks|NV|89431|39.5473|-119.7556|110014|Accountant, chartered certified|1966-09-21|24722602367|adults_50up_female_urban.json
475-87-8921|6533752431069037|Daniel|Garcia|M|9030 Gonzales Plains|Billings|MT|59102|45.7813|-108.5727|128125|Engineer, water|1993-02-24|952427834357|adults_2550_male_urban.json
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Pickens|SC|29671|34.9024|-82.7058|18030|Museum/gallery curator|1930-12-02|578900622716|adults_50up_male_urban.json
714-54-6689|4628733427086681|Kendra|Price|F|51751 Brett Lane Apt. 139|Bronx|NY|10459|40.8247|-73.894|1382480|Surveyor, land/geomatics|1988-11-05|524918088976|adults_2550_female_urban.json
891-43-4968|563173936383|Frank|Campbell|M|544 Hunt Parks Suite 175|Roselle|NJ|07203|40.653|-74.261|21085|Engineer, electronics|1997-02-08|345189549205|adults_2550_male_urban.json
047-73-3626|3504899642353692|Sandra|Porter|F|7772 Jackson Stravenue Suite 280|Maspeth|NY|11378|40.7239|-73.8997|34981|Scientist, research (physical sciences)|1970-01-31|919268273279|adults_50up_female_urban.json
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Spanaway|WA|98387|47.0732|-122.3943|43173|Retail buyer|1994-07-12|767996662339|adults_2550_female_urban.json
441-23-1754|2623398454615676|Karl|Branch|M|1016 Bennett Mountains|New Lenox|IL|60451|41.5067|-87.9631|34063|Banker|1944-12-07|11324746755|adults_50up_male_urban.json
176-11-8190|6591803397401489|Justin|Johnson|M|39261 Martin Garden Suite 856|Los Angeles|CA|90011|34.0079|-118.2582|2383912|Counselling psychologist|1960-11-30|797529515996|adults_50up_male_urban.json
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Land O Lakes|FL|34639|28.2258|-82.4547|50437|Podiatrist|1933-09-01|748122047461|adults_50up_female_urban.json
677-49-1405|3531142626551107|Terri|Wallace|F|21267 Garcia Corners Suite 819|Chatsworth|GA|30705|34.7589|-84.7943|33566|Therapist, sports|2004-12-08|359851424229|young_adults_female_urban.json
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Bradenton|FL|34207|27.4394|-82.5778|216518|Programmer, systems|1958-02-08|146488330909|adults_50up_female_urban.json
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Oceanside|CA|92056|33.1968|-117.2831|188742|Engineer, communications|1954-05-14|199911954718|adults_50up_female_urban.json
787-71-0441|3537416724342666|Angela|Ewing|F|688 Stephens Turnpike Suite 891|Dayton|OH|45409|39.7238|-84.1854|479994|Clinical embryologist|1985-03-13|273885572142|adults_2550_female_urban.json
681-46-2726|4965610143888999|Daniel|Brooks|M|982 Cuevas Orchard Apt. 461|Columbia|SC|29204|34.026|-81.0046|333497|Commercial art gallery manager|1973-05-17|157754796139|adults_50up_male_urban.json
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|South Kortright|NY|13842|42.377|-74.7259|695|Psychologist, counselling|1972-11-07|877169140360|adults_50up_male_rural.json
645-24-3054|4609379660334199|Brian|Wiggins|M|5371 Lambert Overpass|Arlington|TN|38002|35.2752|-89.7295|38927|Secretary, company|1972-10-12|704228248578|adults_50up_male_urban.json
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Cleveland|OH|44102|41.4735|-81.7398|769341|Electronics engineer|1993-08-30|697874934613|adults_2550_male_urban.json
711-83-2839|213174225790506|Kari|Lee|F|876 Perry Ville Suite 721|New Port Richey|FL|34653|28.2444|-82.6986|115083|Systems analyst|1959-04-14|872010906800|adults_50up_female_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Metuchen|NJ|08840|40.5449|-74.3517|16558|Firefighter|1992-07-03|959056357132|adults_2550_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Valley Springs|SD|57068|43.5773|-96.4956|1512|Paramedic|1974-02-04|68370591034|adults_50up_male_rural.json
888-84-2079|3532536729466718|Mark|Beard|M|8457 Murphy Alley|Milwaukee|WI|53227|42.9949|-88.0364|817312|Chief Financial Officer|1973-06-08|697753726506|adults_50up_male_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|Philadelphia|PA|19137|40.0008|-75.0727|1526206|Phytotherapist|2009-08-06|999389892260|young_adults_male_urban.json
667-39-2605|4541520643611037125|Linda|Stone|F|05162 Jones Lights Apt. 115|Vidor|TX|77662|30.1502|-94.0008|27035|Mental health nurse|1971-06-27|330201333423|adults_50up_female_urban.json
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Peoria|IL|61615|40.7661|-89.645|142158|Health and safety inspector|1974-08-31|92962937500|adults_50up_female_urban.json
567-77-9831|3504389836403768|Ashley|Porter|F|055 Paul Villages|Falls Church|VA|22041|38.8502|-77.1448|116155|Teacher, adult education|1988-06-11|401239553647|adults_2550_female_urban.json
700-23-7718|5191043006848665|Mia|Miller|F|1418 Terri Drives|Miami|FL|33175|25.7341|-80.4068|1737737|Software engineer|2001-08-03|430900111440|young_adults_female_urban.json
650-98-1084|4303161799042102026|Jon|Reed|M|52410 Roman Groves Apt. 491|Lewisville|TX|75067|33.0198|-96.9925|109212|Research scientist (maths)|1959-12-14|560300808050|adults_50up_male_urban.json
057-64-9288|4241913800030756|James|Hernandez|M|635 Robert Stravenue|Westbury|NY|11590|40.7557|-73.5723|45768|IT consultant|1981-04-02|907403143513|adults_2550_male_urban.json
586-48-1957|213123806174457|Brandon|Bryant|M|49493 Richardson Park Apt. 832|Pipe Creek|TX|78063|29.6796|-98.9484|9227|Accounting technician|1966-08-25|450681215698|adults_50up_male_urban.json
239-70-5676|4506413836702411|Amanda|Hall|F|571 William Route Suite 199|Middleton|MA|01949|42.5942|-71.013|8987|Biomedical engineer|1999-10-24|727717710246|adults_2550_female_urban.json
243-38-4277|375574313291214|Christopher|Owens|M|85374 Baker Crest Apt. 249|Wilmington|OH|45177|39.4488|-83.8417|22260|Architect|1961-06-12|915751541289|adults_50up_male_urban.json
152-12-4067|378044206788319|Julia|Lara|F|00323 Watson Roads|Acworth|GA|30101|34.0756|-84.6477|91843|Chartered accountant|2007-02-25|646746156066|young_adults_female_urban.json
833-10-0358|2237215107029667|Jon|Reyes|M|53244 Stephenson Bypass Apt. 476|Fort Worth|TX|76105|32.7233|-97.269|813980|Statistician|1983-10-21|66481931623|adults_2550_male_urban.json
287-50-2249|6011838065787597|Kathryn|Price|F|59304 Lindsey Mountains|Broomall|PA|19008|39.9747|-75.3602|20535|Senior tax professional/tax inspector|1990-12-26|843348752593|adults_2550_female_urban.json
239-21-1641|4480396522393|Emily|Rojas|F|059 Anna Field Suite 842|Springfield|OH|45506|39.9104|-83.8275|101826|Recycling officer|1929-11-14|98947300855|adults_50up_female_urban.json
239-78-3585|676170593252|Michelle|Sellers|F|02921 Yu Landing Suite 915|Buckley|WA|98321|47.1524|-122.0621|15152|Immigration officer|1982-11-29|147414458291|adults_2550_female_urban.json
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Columbus|IN|47201|39.2055|-85.9317|67468|Learning disability nurse|1939-05-11|84805603866|adults_50up_female_urban.json
356-41-2751|4570433154100676|Nicholas|Costa|M|6586 Maria Turnpike Apt. 271|Bloomington|IL|61701|40.4783|-88.9893|84349|Analytical chemist|1946-02-05|22741459331|adults_50up_male_urban.json
268-14-1216|346218159970624|Lisa|Hamilton|F|53368 Guerrero Hills|Ironton|OH|45638|38.5294|-82.6654|21635|Field seismologist|1940-11-04|51951563323|adults_50up_female_urban.json
586-71-8044|4506149731032419|John|Wilson|M|7418 Lopez Light Suite 270|Saint Paul|MN|55124|44.7497|-93.2029|753116|General practice doctor|1997-05-14|512989778945|adults_2550_male_urban.json
232-35-9245|503811586935|Juan|Randall|M|793 Evans Locks Apt. 898|Hockessin|DE|19707|39.776|-75.6889|16483|Teacher, music|1967-12-17|161577842715|adults_50up_male_urban.json
776-58-2833|4320616329451163|Justin|Arnold|M|709 Rodriguez Drive Apt. 999|Citrus Heights|CA|95610|38.6946|-121.2692|83966|Chiropodist|1990-02-03|119936653222|adults_2550_male_urban.json
799-13-4688|180064679970242|Jamie|Montgomery|M|65307 Prince Brooks Suite 444|Zavalla|TX|75980|31.1569|-94.3871|2836|Regulatory affairs officer|2001-02-22|768190268997|young_adults_male_urban.json
101-30-2202|4546913736785082143|Michelle|Powell|F|33030 Williams Lake|New York City|NY|10024|40.7864|-73.9764|1577385|Engineer, civil (contracting)|1938-04-21|404903650217|adults_50up_female_urban.json
518-51-2030|4357972798552411|Dominique|Hughes|F|333 Joseph Lodge|Tallahassee|FL|32310|30.3991|-84.3298|245317|Scientific laboratory technician|1977-10-18|949273896633|adults_2550_female_urban.json
010-61-2168|4903494466574378|Elizabeth|Meyer|F|108 Hoffman Ranch Suite 417|Texarkana|TX|75501|33.4113|-94.1774|60677|Bonds trader|1959-03-19|701267155766|adults_50up_female_urban.json
883-36-4279|4328309652074461|Jennifer|Doyle|F|3875 Bruce Ville|Capistrano Beach|CA|92624|33.46|-117.6632|7248|Surveyor, insurance|1940-01-23|322900519786|adults_50up_female_urban.json
483-17-4238|3551353465549475|Samuel|Ruiz|M|3816 Gutierrez Ways|Katy|TX|77449|29.8323|-95.736|250975|Dentist|1974-04-27|374522422066|adults_50up_male_urban.json
584-59-2347|341752500743293|Pamela|Burns|F|96666 Reyes Camp|Aurora|CO|80017|39.6948|-104.7881|389246|Social research officer, government|1968-12-03|804015362037|adults_50up_female_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Rochester|NH|03867|43.3092|-71.0558|29816|Emergency planning/management officer|1958-09-10|445869180665|adults_50up_male_urban.json
234-29-2150|4982150648900|Linda|Williams|F|001 Wallace Crossing|Provo|UT|84604|40.2607|-111.6549|112922|Sports development officer|1974-08-25|520776545528|adults_50up_female_urban.json
157-27-0153|4184992618914117392|Curtis|Baker|M|6420 Lozano Spurs|Harper Woods|MI|48225|42.4377|-82.9289|14554|Quarry manager|1995-11-18|259117969489|adults_2550_male_urban.json
014-86-1459|2717218114374471|Amber|Li|F|5561 Melissa Cape|Lawrenceville|GA|30044|33.9418|-84.0706|228867|Acupuncturist|1969-02-04|153983162030|adults_50up_female_urban.json
663-22-5385|379415521667462|Michael|Mendoza|M|212 Tina Vista Apt. 169|Plano|TX|75075|33.025|-96.7397|278067|Radiation protection practitioner|1951-07-27|626215958920|adults_50up_male_urban.json
449-24-6222|342771670145088|Randall|Ray|M|588 Ryan Stream|Huntsville|AL|35801|34.7269|-86.5673|190178|Fish farm manager|1982-01-30|380026994241|adults_2550_male_urban.json
693-83-6306|4028772175354087|Courtney|Schneider|F|17797 Melissa Mission Suite 170|Seaside|CA|93955|36.6217|-121.7935|33359|Civil engineer, contracting|1972-08-01|452704326218|adults_50up_female_urban.json
571-71-0003|2720948837550370|Evelyn|Saunders|F|571 Katherine Forges Apt. 554|East Burke|VT|05832|44.6078|-71.9357|982|Sports development officer|2002-03-21|410263801993|young_adults_female_rural.json
109-06-2690|30261493316378|Roger|Lee|M|60917 Barrett Parkways Apt. 708|Houston|TX|77023|29.7242|-95.3178|2906700|Art therapist|1985-11-21|920981907761|adults_2550_male_urban.json
495-66-2904|3521699586693460|Tracey|Waller|F|26984 Joseph Plaza Apt. 339|Broomfield|CO|80021|39.8854|-105.1139|92337|Horticultural therapist|2004-11-28|380906095118|young_adults_female_urban.json
136-91-2914|180015879968469|Robert|Mills|M|2003 Christensen Estates|Madison|WI|53705|43.073|-89.4528|272940|Historic buildings inspector/conservation officer|2001-11-16|277813046063|young_adults_male_urban.json
860-08-4836|4571983863842|Melissa|Williams|F|6580 Julia Flats Suite 359|Louisville|KY|40206|38.2503|-85.7034|736284|Sports coach|1966-12-24|664596582306|adults_50up_female_urban.json
795-93-3171|4212281606484229407|Gary|Mckinney|M|25909 Henry Ports|Dickinson|TX|77539|29.4585|-95.0345|38806|Statistician|1970-09-07|78847377226|adults_50up_male_urban.json
326-68-3604|4826886153355546|Daniel|Goodwin|M|015 Allen Row Apt. 056|Highland Park|IL|60035|42.1794|-87.8059|29763|Clothing/textile technologist|2003-01-29|280830198772|young_adults_male_urban.json
742-37-0405|180088770435813|Tiffany|Jackson|F|133 Houston Ford|Dudley|NC|28333|35.2926|-78.0273|11830|Soil scientist|1980-05-19|772358594412|adults_2550_female_urban.json
794-56-1182|3507501102481933|Susan|Russell|F|665 Perry Crest Apt. 919|Worcester|MA|01609|42.2826|-71.8277|181315|Armed forces technical officer|1969-03-23|935018168609|adults_50up_female_urban.json
367-65-1739|4914766072832684246|Megan|Sloan|F|88210 Ashley Lock Apt. 435|Logan|UT|84321|41.747|-111.8226|64183|Engineer, mining|1975-06-21|993909782929|adults_50up_female_urban.json
872-66-2334|4394312908781417|Danielle|Gonzalez|F|5231 Harvey Fields Suite 775|Missoula|MT|59801|46.8563|-114.0252|90987|Warehouse manager|1969-12-23|337839646089|adults_50up_female_urban.json
599-20-9267|3556205336452575|Julie|Howard|F|8129 Meagan Walks Apt. 834|Lake Oswego|OR|97034|45.4093|-122.6847|42817|Camera operator|1963-08-05|84728646799|adults_50up_female_urban.json
870-65-0512|3593084887256395|Morgan|Carter|F|816 Shaw Shore Apt. 928|Woodland|CA|95695|38.6816|-121.8052|59848|Counselling psychologist|1956-08-19|173715194068|adults_50up_female_urban.json
580-73-2396|3550373145303854|James|Hardin|M|51844 Nicholas Lane|Anchorage|AK|99517|61.1901|-149.9361|242037|Medical secretary|1941-02-04|719783599768|adults_50up_male_urban.json
